"paperID"	"obsID"	"measCat"	"n1i"	"m1i"	"sd1i"	"n2i"	"m2i"	"sd2i"	"measQuality"	"ecosystCat"	"studyType"	"InvNfix"	"NatNfix"	"Nfix"	"invGenera"	"traitCat"	"InvArea_qualRank"	"InvArea_cwm"	"InvSpInvArea_qualRank"	"InvSpInvArea_cwm"	"NatArea_qualRank"	"NatArea_cwm"	"CWMDiff_cwm"	"CWMDiff2_cwm"	"yi"	"vi"	"CWMDiff_qualRank"	"CWMDiff2_qualRank"	"sourceOverlap"
"43"	6	6.02	"ammonif"	50	7.89	14.8068159980463	50	2.399	5.01338707861262	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"percN"	2	1.22	2	1.22	2	1.63319821621622	-0.41319821621622	-0.41319821621622	0.492936335623746	0.0412149311548908	4	4	"PaperInPreviousMeta"
"44"	6	6.02	"nitrif"	50	0.58	1.25157900270019	50	1.24	3.18905158315133	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"cn"	2	35.4	2	35.4	1	49.65	-14.25	-14.25	-0.270360452880759	0.0403654738724094	3	3	"PaperInPreviousMeta"
"45"	6	6.02	"nitrif"	50	0.58	1.25157900270019	50	1.24	3.18905158315133	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"littercn"	2	46.4	2	46.4	1	71.35	-24.95	-24.95	-0.270360452880759	0.0403654738724094	3	3	"PaperInPreviousMeta"
"46"	6	6.02	"nitrif"	50	0.58	1.25157900270019	50	1.24	3.18905158315133	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"litterpercN"	2	0.93	2	0.93	1	0.695	0.235	0.235	-0.270360452880759	0.0403654738724094	3	3	"PaperInPreviousMeta"
"47"	6	6.02	"nitrif"	50	0.58	1.25157900270019	50	1.24	3.18905158315133	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"percN"	2	1.22	2	1.22	2	1.63319821621622	-0.41319821621622	-0.41319821621622	-0.270360452880759	0.0403654738724094	4	4	"PaperInPreviousMeta"
"48"	6	6.02	"soiln"	100	6309.92	6451.32653061224	100	6115.7	5144.18367346939	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"cn"	2	35.4	2	35.4	1	49.65	-14.25	-14.25	0.0331620535111118	0.0200027493044827	3	3	"PaperInPreviousMeta"
"49"	6	6.02	"soiln"	100	6309.92	6451.32653061224	100	6115.7	5144.18367346939	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"littercn"	2	46.4	2	46.4	1	71.35	-24.95	-24.95	0.0331620535111118	0.0200027493044827	3	3	"PaperInPreviousMeta"
"50"	6	6.02	"soiln"	100	6309.92	6451.32653061224	100	6115.7	5144.18367346939	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"litterpercN"	2	0.93	2	0.93	1	0.695	0.235	0.235	0.0331620535111118	0.0200027493044827	3	3	"PaperInPreviousMeta"
"51"	6	6.02	"soiln"	100	6309.92	6451.32653061224	100	6115.7	5144.18367346939	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"percN"	2	1.22	2	1.22	2	1.63319821621622	-0.41319821621622	-0.41319821621622	0.0331620535111118	0.0200027493044827	4	4	"PaperInPreviousMeta"
"52"	7	7.01	"soiln"	6	110.7	42.1990995164589	6	111.85	50.0523126338834	"Agg.NoConv"	"grassland"	"field study"	"N-fixing"	"No N-fixers"	"Invasive N-fixers only"	"Elaeagnus"	"percN"	1	3.98	1	3.98	1	2.08983703333333	1.89016296666667	1.89016296666667	-0.0229228621619683	0.333355227400404	2	2	"PaperInPreviousMeta"
"53"	7	7.01	"soilcn"	6	9.395	1.82629132396778	6	10.205	4.19212833773013	"Agg.NoConv"	"grassland"	"field study"	"N-fixing"	"No N-fixers"	"Invasive N-fixers only"	"Elaeagnus"	"percN"	1	3.98	1	3.98	1	2.08983703333333	1.89016296666667	1.89016296666667	-0.231159882109409	0.335559787129035	2	2	"PaperInPreviousMeta"
"54"	7	7.01	"toti"	6	1749.347	613.971952497832	6	966.057	562.807010750577	"NoAgg.NoConv"	"grassland"	"field study"	"N-fixing"	"No N-fixers"	"Invasive N-fixers only"	"Elaeagnus"	"percN"	1	3.98	1	3.98	1	2.08983703333333	1.89016296666667	1.89016296666667	1.22724016225735	0.396088267327393	2	2	"PaperInPreviousMeta"
